"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","product"
"LMB2_000206",304.168938344114,0.000194427195288619,0.290349073682997,0.000669632566146549,0.999465710553991,0.999465710553991,NA,"alpha/beta hydrolase"
"LMB2_000173",299.384847867194,0.00030198540578969,0.149178224733697,0.00202432631390255,0.998384822391249,0.998721176416942,NA,"acyl-CoA synthetase"
"LMB2_000559",484.693475101942,0.000435652793648967,0.149998761914189,0.00290437593010396,0.99768264654457,0.998721176416942,NA,"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme"
"LMB2_000565",350.474798173487,-0.000497604359464013,0.256656009104863,-0.0019387987883062,0.998453063349448,0.998721176416942,NA,"SDR family NAD(P)-dependent oxidoreductase"
"LMB2_000591",464.574806495345,0.000660680258342702,0.276265009396984,0.00239147281005581,0.998091882586076,0.998721176416942,NA,"DUF222 domain-containing protein"
"LMB2_000877",265.12973164328,-0.000535699219605167,0.241398667227715,-0.00221914737872117,0.998229378021644,0.998721176416942,NA,"hypothetical protein"
"LMB2_001046",440.897715988135,0.000417958486472152,0.157376821259279,0.00265578172902325,0.997880995252503,0.998721176416942,NA,"ABC transporter ATP-binding protein"
"LMB2_002718",363.292668189106,-0.00046099875900683,0.214781058803985,-0.00214636598578066,0.998287449033035,0.998721176416942,NA,"glycosyltransferase"
"LMB2_002299",280.902537971488,0.00170703587690913,0.302764166276568,0.00563817012396965,0.995501414941142,0.997644006095172,NA,"FliM/FliN family flagellar motor switch protein"
"LMB2_003467",182.27006398173,-0.00117693683534504,0.179763162337057,-0.00654715248688312,0.994776165433644,0.997185472615803,NA,"arginase family protein"
"LMB2_003251",1214.24728315615,-0.00485649439092314,0.590752041364887,-0.00822086772599647,0.993440770446812,0.996114904418405,"rpsH","30S ribosomal protein S8"
"LMB2_001221",69.5103030675258,-0.00232698293654942,0.267386432784266,-0.00870269636465396,0.993056340581966,0.995997541375289,NA,NA
"LMB2_000936",362.943965494094,-0.00209099781356159,0.22743971265901,-0.00919363548746882,0.992664643521353,0.995872824432276,"hpt","hypoxanthine phosphoribosyltransferase"
"LMB2_000047",365.333831188611,-0.00173663743781871,0.174855495844752,-0.0099318436027919,0.992075665607299,0.995707354199086,NA,"phage portal protein"
"LMB2_002858",305.074559465255,-0.00121977425344979,0.118811529659171,-0.0102664636752754,0.991808691034079,0.995707354199086,NA,"antibiotic biosynthesis monooxygenase"
"LMB2_003033",297.448994689176,0.0017049049185406,0.175124393319789,0.00973539371769486,0.992232402358928,0.995707354199086,NA,"CPBP family intramembrane metalloprotease"
"LMB2_000006",222.762440073996,0.00173708071416559,0.150280544682655,0.0115589194718036,0.990777521981434,0.995393135389715,NA,"DUF3817 domain-containing protein"
"LMB2_000268",212.979671503738,-0.0029929120746716,0.262972612279438,-0.0113810789980338,0.990919408815868,0.995393135389715,NA,"SDR family oxidoreductase"
"LMB2_000411",192.343829883951,0.00234605825151874,0.200247151704836,0.0117158133413894,0.990652347261722,0.995393135389715,NA,"MarR family transcriptional regulator"
"LMB2_001103",237.904584030945,-0.00124592873941044,0.106970797601285,-0.011647372622708,0.990706951328725,0.995393135389715,NA,"nucleoside phosphorylase"
